sim_id,name,base_sim,settings,best_contexts,light_conditions,subject_types,vibe,notes
FS001,Classic Cuban Neg,Classic Negative,"Grain Effect: Strong / Large, Color Chrome Effect: Strong, Color Chrome FX Blue: Strong, White Balance: Auto +4R -5B, Dynamic Range: DR400, Highlight: -2, Shadow: +1, Color: +4, Sharpness: 0, High ISO NR: -4, Clarity: -4, Exposure Compensation: 0, ISO: Auto, ISO 500 up to 6400","warm-sunlit_outdoor, travel, summer, nostalgia, vintage, bold_color_shifts, documentary, street, lifestyle","moderate_contrast, bright_daylight, warm_ambient","portrait, people, travel, landscape, architecture, street, everyday, candid","color_rich, stylised, film-print, mood-driven, strongly_nostalgic, soften_contrast","one of the most popular recipes, softens contrast pretty well"
FS002,3001,Classic Chrome,"Grain Effect: Off, Color Chrome Effect: Strong, Color Chrome FX Blue: Weak, White Balance: Daylight 0R 0B, Dynamic Range: DR400, Highlight: -1.5, Shadow: +0.5, Color: +3, Sharpness: -2, High ISO NR: 0, Clarity: 0, Exposure Compensation: 0, ISO: Start at 640 up to ISO 1600","street, travel, outdoor, indoor, lifestyle","medium_light, controlled_shadow, natural_daylight, bright_indoor, indoor","people, portrait, travel, pet, fine_detail, indoor, outdoor_landscape, nature","vibrant, moderate_contrast, deep","newer recipe, adding a light ""faded"", ""shaded"", higher contrast filter to the shot"
FS003,Cinematic Gold,Classic Negative,"Grain Effect: Strong/ Small, Color Chrome Effect: Off, Color Chrome FX Blue: Off, White Balance: Daylight +4R -5B, Dynamic Range: DR400, Highlight: 0, Shadow: 0, Color: +3, Sharpness: -2, High ISO NR: -4, Clarity: -2, Exposure Compensation: 0 to +1, ISO: Start at 640 ISO up to 1600","cinematic, environmental, lifestyle, urban_travel, creative, editorial, dusk_light, dawn_light, architecture, cityscape","natural_daylight, moderate_contrast, clean_light, controlled_shadows","people, portrait, urban_context, travel_context, lifestyle_detail, editorial_detail","sophisticated, warm, polished, atmosphetic, curated_aesthetic",one of the best to shoot urban landscape in a warm light environment
FS004,Summer Chrome,Classic Chrome,"Grain Effect: Strong / Large, Color Chrome Effect: Strong, Color Chrome FX Blue: Strong, White Balance: Auto +5R -6B, Dynamic Range: DR400, Highlight: -2, Shadow: -2, Color: +4, Sharpness: 0, High ISO NR: -4, Clarity: -4, Exposure Compensation: 0 to +1, ISO: Auto, ISO 500 up to ISO 6400","bright, warmer_summer, warm_outdoor, everyday_outdoor, travel, lifestyle, street, casual, vacation, explore","sunlight, strong_ambient, warm_temperature, open_shade, partial_sun, warm_direct_sun, mid-morning, late_afternoon","people, landscape, candid_portrait, textured_surface, street, travel, coastal_scene","nostalgic, sun-washed, film-print, lively, warm, inviting, warm_and_breezy","giving cuban vacation feels, no enhanced yellow hue"
FS005,Last Summer Roll,Classic Negative,"Grain Effect: Strong/ Small, Color Chrome Effect: Strong, Color Chrome FX Blue: Weak, White Balance: Auto +3R -5B, Dynamic Range: DR400, Highlight: -2, Shadow: 0, Color: +4, Sharpness: 0, High ISO NR: -4, Clarity: -2, Exposure Compensation: 0 to +1, ISO: Start at 640 ISO up to 1600","late-summer_outdoor, travel, holiday, lifestyle, street","warm_ambient, golden_hour, mixed_ambient, natural_light, soft_light","travel, portrait, candid, still_life, vintage_subject, outdoor","dreamy, relaxed, analog-inspired, nostalgic, sun-washed",works well with late summer outdoor shoots
FS006,High End,Eterna,"Grain Effect: Strong / Large, Color Chrome Effect: Strong, Color Chrome FX Blue: Strong, White Balance: Auto +4R -7B, Dynamic Range: DR400, Highlight: -2, Shadow: +1, Color: +3, Sharpness: 0, High ISO NR: -4, Clarity: 0, Exposure Compensation: 0 to +1, ISO: Start at 640 ISO up to 1600","premium_lifestyle, editorial, high-end_lifestyle, luxury_interior, luxurious_indoor, upscale, indoor, premium, high-end","controlled_daylight, clean_ambient, soft_contrast","model, people, portrait, interior_detail, architecture_detail, high-end_travel, luxury_environment","polished, sophisticated, premium, clean, timeless, elegant","shoot well with indoor, minimalist concepts and subjects"
FS007,Classic Continental,Classic Negative,"Grain Effect: Small/ Weak, Color Chrome Effect: Weak, Color Chrome FX Blue: Weak, White Balance: Auto +3R -2B, Dynamic Range: DR Auto, Highlight: -1, Shadow: -0.5, Color: +1, Sharpness: -1, High ISO NR: -4, Clarity: 0, Exposure Compensation: 0 to +1, ISO: Auto up to ISO 1600","travel, european_scene, architecture, lifestyle, continental","warm_ambient, moderate_contrast, natural_daylight","portrait, architecture, travel, lifestyle, european_vacation","refined, nostalgic, elegant, understated, atmospheric, composed",best for sunny beach vacation shooting
FS008,Corsican Nostalgic,Classic Negative,"Grain Effect: Off, Color Chrome Effect: Strong, Color Chrome FX Blue: Weak, White Balance: Auto +4R -6B, Dynamic Range: DR200, Highlight: -1, Shadow: -1, Color: 0, Sharpness: -2, High ISO NR: -4, Clarity: 0, Exposure Compensation: 0 to +1, ISO: Start at 640 ISO up to 1600","travel, lifestyle, everyday, analog-film_feel, textured_outdoor, vacation, weathered_architecture","moderate_contrast, natural_daylight, ambient_outdoor","portrait, landscape, architecture, urban, travel, lifestyle, urban_scene","warm-toned, nostalgic, textured, characterful, atmosphetic, relaxed_but_rich",works well when shooting natural environment with embedded details
FS009,Solaris,Classic Negative,"Grain Effect: Strong / Large, Color Chrome Effect: Strong, Color Chrome FX Blue: Weak, White Balance: Auto +1R -6B, Dynamic Range: DR400, Highlight: -1.5, Shadow: +2.5, Color: 3, Sharpness: -3, High ISO NR: -4, Clarity: -3, Exposure Compensation: 0 to -2/3, ISO: Start at 640 ISO up to 1600","travel, landscape, lifestyle, documentary, vintage, film-print, street","moderate, ambient_light, warmer, mixed_light","street, travel, environmental_shot, landscape, nature, architecture, portrait_with_ambient_detail","nostalgic, analogue, memory-driven, warm, textured, memory-driven, expressive, cinematic","gives euro summer vibes, works best when shooting outdoor under clear skies"
FS010,1976 Kodak,Nostalgic Negative,"Grain Effect: Strong/ Small, Color Chrome Effect: Strong, Color Chrome FX Blue: Off, White Balance: Auto -2R -4B, Dynamic Range: DR200, Highlight: +1.5, Shadow: +3, Color: +4, Sharpness: -2, High ISO NR: -4, Clarity: -3, Exposure Compensation: +1/3 to 1, ISO: Auto up to ISO 6400","street, travel, oudoor, suburban, small-town, landscape, seaside, coastal, textured_architecture","daylight, bright_ambient_outdoor, versatile","people, street, landscape, travel, urban, vintage, candid, daily, everyday, small-town","vintage, rich_colored, analogue_texture, emotional, memory-driven, artistic, warm-toned, classic",performs best in high contrast environments
